id,role,intent,variant_type,index,text,version,voice,source,file_path,notes
principal_001,principal,overview,standard,001,"打开学校今日运行数据大屏。",humanized,Tingting,macos-say,audio/humanized/principal/principal_001.wav,"slower pace, natural pause"
principal_002,principal,overview,standard,002,"切换到校长驾驶舱首页。",humanized,Tingting,macos-say,audio/humanized/principal/principal_002.wav,"slower pace, natural pause"
principal_003,principal,overview,colloquial,003,"帮我打开学校运行总览。",humanized,Tingting,macos-say,audio/humanized/principal/principal_003.wav,"slower pace, natural pause"
principal_004,principal,overview,colloquial,004,"我想看一下今天的学校整体情况。",humanized,Tingting,macos-say,audio/humanized/principal/principal_004.wav,"slower pace, natural pause"
principal_005,principal,overview,entity,005,"打开校长驾驶舱里的学校运行总览页。",humanized,Tingting,macos-say,audio/humanized/principal/principal_005.wav,"slower pace, natural pause"
principal_006,principal,overview,short,006,"看学校总览。",humanized,Tingting,macos-say,audio/humanized/principal/principal_006.wav,"slower pace, natural pause"
principal_007,principal,attendance,standard,007,"查看今天全校学生到校情况。",humanized,Tingting,macos-say,audio/humanized/principal/principal_007.wav,"slower pace, natural pause"
principal_008,principal,attendance,standard,008,"查询本周各年级学生出勤率。",humanized,Tingting,macos-say,audio/humanized/principal/principal_008.wav,"slower pace, natural pause"
principal_009,principal,attendance,colloquial,009,"帮我看一下今天全校到校情况。",humanized,Tingting,macos-say,audio/humanized/principal/principal_009.wav,"slower pace, natural pause"
principal_010,principal,attendance,colloquial,010,"我想查一下这周各年级的出勤率。",humanized,Tingting,macos-say,audio/humanized/principal/principal_010.wav,"slower pace, natural pause"
principal_011,principal,attendance,entity,011,"查一下七年级和八年级今天的到校情况。",humanized,Tingting,macos-say,audio/humanized/principal/principal_011.wav,"slower pace, natural pause"
principal_012,principal,attendance,short,012,"看今天到校。",humanized,Tingting,macos-say,audio/humanized/principal/principal_012.wav,"slower pace, natural pause"
principal_013,principal,teacher_attendance,standard,013,"查看本月教师考勤异常统计。",humanized,Tingting,macos-say,audio/humanized/principal/principal_013.wav,"slower pace, natural pause"
principal_014,principal,teacher_attendance,standard,014,"查询本月教师授课课时统计。",humanized,Tingting,macos-say,audio/humanized/principal/principal_014.wav,"slower pace, natural pause"
principal_015,principal,teacher_attendance,colloquial,015,"帮我看一下这个月教师考勤异常。",humanized,Tingting,macos-say,audio/humanized/principal/principal_015.wav,"slower pace, natural pause"
principal_016,principal,teacher_attendance,colloquial,016,"我想查查本学期教师的授课课时。",humanized,Tingting,macos-say,audio/humanized/principal/principal_016.wav,"slower pace, natural pause"
principal_017,principal,teacher_attendance,entity,017,"看一下语文组和数学组教师本月考勤异常统计。",humanized,Tingting,macos-say,audio/humanized/principal/principal_017.wav,"slower pace, natural pause"
principal_018,principal,teacher_attendance,short,018,"查教师考勤异常。",humanized,Tingting,macos-say,audio/humanized/principal/principal_018.wav,"slower pace, natural pause"
principal_019,principal,performance,standard,019,"打开学校教学质量分析报表。",humanized,Tingting,macos-say,audio/humanized/principal/principal_019.wav,"slower pace, natural pause"
principal_020,principal,performance,standard,020,"查看各年级最近一次考试平均分。",humanized,Tingting,macos-say,audio/humanized/principal/principal_020.wav,"slower pace, natural pause"
principal_021,principal,performance,colloquial,021,"帮我打开教学质量分析。",humanized,Tingting,macos-say,audio/humanized/principal/principal_021.wav,"slower pace, natural pause"
principal_022,principal,performance,colloquial,022,"我想看一下最近一次考试的年级平均分。",humanized,Tingting,macos-say,audio/humanized/principal/principal_022.wav,"slower pace, natural pause"
principal_023,principal,performance,entity,023,"把七年级和八年级最近一次考试平均分对比一下。",humanized,Tingting,macos-say,audio/humanized/principal/principal_023.wav,"slower pace, natural pause"
principal_024,principal,performance,short,024,"看成绩分析。",humanized,Tingting,macos-say,audio/humanized/principal/principal_024.wav,"slower pace, natural pause"
principal_025,principal,security,standard,025,"查看学校本月安全巡检情况。",humanized,Tingting,macos-say,audio/humanized/principal/principal_025.wav,"slower pace, natural pause"
principal_026,principal,security,standard,026,"查看本周学生违纪情况汇总。",humanized,Tingting,macos-say,audio/humanized/principal/principal_026.wav,"slower pace, natural pause"
principal_027,principal,security,colloquial,027,"帮我看一下这个月学校安全巡检情况。",humanized,Tingting,macos-say,audio/humanized/principal/principal_027.wav,"slower pace, natural pause"
principal_028,principal,security,colloquial,028,"我想查一下这周学生违纪汇总。",humanized,Tingting,macos-say,audio/humanized/principal/principal_028.wav,"slower pace, natural pause"
principal_029,principal,security,entity,029,"教学楼A栋这周的安全巡检情况怎么样。",humanized,Tingting,macos-say,audio/humanized/principal/principal_029.wav,"slower pace, natural pause"
principal_030,principal,security,short,030,"看安全巡检。",humanized,Tingting,macos-say,audio/humanized/principal/principal_030.wav,"slower pace, natural pause"
principal_031,principal,device,standard,031,"查询今天校园设备运行状态。",humanized,Tingting,macos-say,audio/humanized/principal/principal_031.wav,"slower pace, natural pause"
principal_032,principal,device,standard,032,"查看学校食堂今日用餐统计。",humanized,Tingting,macos-say,audio/humanized/principal/principal_032.wav,"slower pace, natural pause"
principal_033,principal,device,colloquial,033,"帮我查一下今天校园设备运行情况。",humanized,Tingting,macos-say,audio/humanized/principal/principal_033.wav,"slower pace, natural pause"
principal_034,principal,device,colloquial,034,"我想看一下今天食堂用餐统计。",humanized,Tingting,macos-say,audio/humanized/principal/principal_034.wav,"slower pace, natural pause"
principal_035,principal,device,entity,035,"看一下图书馆和实验楼的设备运行状态。",humanized,Tingting,macos-say,audio/humanized/principal/principal_035.wav,"slower pace, natural pause"
principal_036,principal,device,short,036,"查设备状态。",humanized,Tingting,macos-say,audio/humanized/principal/principal_036.wav,"slower pace, natural pause"
principal_037,principal,moral_education,standard,037,"打开德育管理统计大屏。",humanized,Tingting,macos-say,audio/humanized/principal/principal_037.wav,"slower pace, natural pause"
principal_038,principal,moral_education,standard,038,"查看各班级综合评价排名。",humanized,Tingting,macos-say,audio/humanized/principal/principal_038.wav,"slower pace, natural pause"
principal_039,principal,moral_education,colloquial,039,"帮我打开德育管理统计大屏。",humanized,Tingting,macos-say,audio/humanized/principal/principal_039.wav,"slower pace, natural pause"
principal_040,principal,moral_education,colloquial,040,"我想看一下各班综合评价排名。",humanized,Tingting,macos-say,audio/humanized/principal/principal_040.wav,"slower pace, natural pause"
principal_041,principal,moral_education,entity,041,"查一下七年级一班和七年级二班的综合评价排名。",humanized,Tingting,macos-say,audio/humanized/principal/principal_041.wav,"slower pace, natural pause"
principal_042,principal,moral_education,short,042,"看德育统计。",humanized,Tingting,macos-say,audio/humanized/principal/principal_042.wav,"slower pace, natural pause"
principal_043,principal,enrollment,standard,043,"打开学校招生数据分析页面。",humanized,Tingting,macos-say,audio/humanized/principal/principal_043.wav,"slower pace, natural pause"
principal_044,principal,enrollment,standard,044,"查询本学期学生流失预警名单。",humanized,Tingting,macos-say,audio/humanized/principal/principal_044.wav,"slower pace, natural pause"
principal_045,principal,enrollment,colloquial,045,"帮我打开招生数据分析。",humanized,Tingting,macos-say,audio/humanized/principal/principal_045.wav,"slower pace, natural pause"
principal_046,principal,enrollment,colloquial,046,"我想查一下这学期学生流失预警。",humanized,Tingting,macos-say,audio/humanized/principal/principal_046.wav,"slower pace, natural pause"
principal_047,principal,enrollment,entity,047,"看一下一年级新生招生数据分析页面。",humanized,Tingting,macos-say,audio/humanized/principal/principal_047.wav,"slower pace, natural pause"
principal_048,principal,enrollment,short,048,"看招生分析。",humanized,Tingting,macos-say,audio/humanized/principal/principal_048.wav,"slower pace, natural pause"
principal_049,principal,parent_communication,standard,049,"查看本月家校沟通情况统计。",humanized,Tingting,macos-say,audio/humanized/principal/principal_049.wav,"slower pace, natural pause"
principal_050,principal,parent_communication,standard,050,"查看各学科教学任务完成情况。",humanized,Tingting,macos-say,audio/humanized/principal/principal_050.wav,"slower pace, natural pause"
principal_051,principal,parent_communication,colloquial,051,"帮我看一下这个月家校沟通统计。",humanized,Tingting,macos-say,audio/humanized/principal/principal_051.wav,"slower pace, natural pause"
principal_052,principal,parent_communication,colloquial,052,"我想查查各学科教学任务完成情况。",humanized,Tingting,macos-say,audio/humanized/principal/principal_052.wav,"slower pace, natural pause"
principal_053,principal,parent_communication,entity,053,"看一下英语学科本月教学任务完成情况。",humanized,Tingting,macos-say,audio/humanized/principal/principal_053.wav,"slower pace, natural pause"
principal_054,principal,parent_communication,short,054,"看家校沟通统计。",humanized,Tingting,macos-say,audio/humanized/principal/principal_054.wav,"slower pace, natural pause"
principal_055,principal,briefing,standard,055,"生成本周学校运行情况简报。",humanized,Tingting,macos-say,audio/humanized/principal/principal_055.wav,"slower pace, natural pause"
principal_056,principal,briefing,standard,056,"对比本学期各年级成绩变化趋势。",humanized,Tingting,macos-say,audio/humanized/principal/principal_056.wav,"slower pace, natural pause"
principal_057,principal,briefing,colloquial,057,"帮我生成这周学校运行简报。",humanized,Tingting,macos-say,audio/humanized/principal/principal_057.wav,"slower pace, natural pause"
principal_058,principal,briefing,colloquial,058,"我想看一下这学期各年级成绩趋势。",humanized,Tingting,macos-say,audio/humanized/principal/principal_058.wav,"slower pace, natural pause"
principal_059,principal,briefing,entity,059,"生成一份包含七年级和八年级数据的学校周简报。",humanized,Tingting,macos-say,audio/humanized/principal/principal_059.wav,"slower pace, natural pause"
principal_060,principal,briefing,short,060,"生成学校简报。",humanized,Tingting,macos-say,audio/humanized/principal/principal_060.wav,"slower pace, natural pause"
director_001,director,workspace,standard,001,"打开年级管理工作台。",humanized,Tingting,macos-say,audio/humanized/director/director_001.wav,"slower pace, natural pause"
director_002,director,workspace,standard,002,"返回主任工作台首页。",humanized,Tingting,macos-say,audio/humanized/director/director_002.wav,"slower pace, natural pause"
director_003,director,workspace,colloquial,003,"帮我打开年级管理工作台。",humanized,Tingting,macos-say,audio/humanized/director/director_003.wav,"slower pace, natural pause"
director_004,director,workspace,colloquial,004,"我想回到主任工作台首页。",humanized,Tingting,macos-say,audio/humanized/director/director_004.wav,"slower pace, natural pause"
director_005,director,workspace,entity,005,"切到七年级管理工作台首页。",humanized,Tingting,macos-say,audio/humanized/director/director_005.wav,"slower pace, natural pause"
director_006,director,workspace,short,006,"打开主任工作台。",humanized,Tingting,macos-say,audio/humanized/director/director_006.wav,"slower pace, natural pause"
director_007,director,student_attendance,standard,007,"查看今天本年级学生出勤情况。",humanized,Tingting,macos-say,audio/humanized/director/director_007.wav,"slower pace, natural pause"
director_008,director,student_attendance,standard,008,"查询本周各班级迟到人数。",humanized,Tingting,macos-say,audio/humanized/director/director_008.wav,"slower pace, natural pause"
director_009,director,student_attendance,colloquial,009,"帮我看一下今天本年级的出勤情况。",humanized,Tingting,macos-say,audio/humanized/director/director_009.wav,"slower pace, natural pause"
director_010,director,student_attendance,colloquial,010,"我想查一下这周各班迟到人数。",humanized,Tingting,macos-say,audio/humanized/director/director_010.wav,"slower pace, natural pause"
director_011,director,student_attendance,entity,011,"查一下七年级一班今天的出勤情况。",humanized,Tingting,macos-say,audio/humanized/director/director_011.wav,"slower pace, natural pause"
director_012,director,student_attendance,short,012,"看年级出勤。",humanized,Tingting,macos-say,audio/humanized/director/director_012.wav,"slower pace, natural pause"
director_013,director,leave,standard,013,"查看今天请假的学生名单。",humanized,Tingting,macos-say,audio/humanized/director/director_013.wav,"slower pace, natural pause"
director_014,director,leave,standard,014,"打开本年级学生预警名单。",humanized,Tingting,macos-say,audio/humanized/director/director_014.wav,"slower pace, natural pause"
director_015,director,leave,colloquial,015,"帮我看一下今天请假的学生都有谁。",humanized,Tingting,macos-say,audio/humanized/director/director_015.wav,"slower pace, natural pause"
director_016,director,leave,colloquial,016,"我想查查本年级需要预警的学生。",humanized,Tingting,macos-say,audio/humanized/director/director_016.wav,"slower pace, natural pause"
director_017,director,leave,entity,017,"看一下七年级三班今天请假的学生名单。",humanized,Tingting,macos-say,audio/humanized/director/director_017.wav,"slower pace, natural pause"
director_018,director,leave,short,018,"看请假名单。",humanized,Tingting,macos-say,audio/humanized/director/director_018.wav,"slower pace, natural pause"
director_019,director,score_analysis,standard,019,"打开本年级考试成绩分析。",humanized,Tingting,macos-say,audio/humanized/director/director_019.wav,"slower pace, natural pause"
director_020,director,score_analysis,standard,020,"对比各班级语文平均分。",humanized,Tingting,macos-say,audio/humanized/director/director_020.wav,"slower pace, natural pause"
director_021,director,score_analysis,colloquial,021,"帮我打开本年级成绩分析。",humanized,Tingting,macos-say,audio/humanized/director/director_021.wav,"slower pace, natural pause"
director_022,director,score_analysis,colloquial,022,"我想看一下各班语文平均分对比。",humanized,Tingting,macos-say,audio/humanized/director/director_022.wav,"slower pace, natural pause"
director_023,director,score_analysis,entity,023,"把七年级一班和七年级二班的语文平均分对比一下。",humanized,Tingting,macos-say,audio/humanized/director/director_023.wav,"slower pace, natural pause"
director_024,director,score_analysis,short,024,"看成绩对比。",humanized,Tingting,macos-say,audio/humanized/director/director_024.wav,"slower pace, natural pause"
director_025,director,discipline,standard,025,"查看各班级纪律扣分统计。",humanized,Tingting,macos-say,audio/humanized/director/director_025.wav,"slower pace, natural pause"
director_026,director,discipline,standard,026,"打开学生违纪处理记录。",humanized,Tingting,macos-say,audio/humanized/director/director_026.wav,"slower pace, natural pause"
director_027,director,discipline,colloquial,027,"帮我看一下各班纪律扣分情况。",humanized,Tingting,macos-say,audio/humanized/director/director_027.wav,"slower pace, natural pause"
director_028,director,discipline,colloquial,028,"我想查一下学生违纪处理记录。",humanized,Tingting,macos-say,audio/humanized/director/director_028.wav,"slower pace, natural pause"
director_029,director,discipline,entity,029,"查一下七年级二班本周纪律扣分统计。",humanized,Tingting,macos-say,audio/humanized/director/director_029.wav,"slower pace, natural pause"
director_030,director,discipline,short,030,"看违纪记录。",humanized,Tingting,macos-say,audio/humanized/director/director_030.wav,"slower pace, natural pause"
director_031,director,duty,standard,031,"查询本周卫生检查排名。",humanized,Tingting,macos-say,audio/humanized/director/director_031.wav,"slower pace, natural pause"
director_032,director,duty,standard,032,"查看今天值班教师安排。",humanized,Tingting,macos-say,audio/humanized/director/director_032.wav,"slower pace, natural pause"
director_033,director,duty,colloquial,033,"帮我查一下这周卫生检查排名。",humanized,Tingting,macos-say,audio/humanized/director/director_033.wav,"slower pace, natural pause"
director_034,director,duty,colloquial,034,"我想看一下今天值班教师安排。",humanized,Tingting,macos-say,audio/humanized/director/director_034.wav,"slower pace, natural pause"
director_035,director,duty,entity,035,"看一下周五下午的值班教师安排。",humanized,Tingting,macos-say,audio/humanized/director/director_035.wav,"slower pace, natural pause"
director_036,director,duty,short,036,"看值班安排。",humanized,Tingting,macos-say,audio/humanized/director/director_036.wav,"slower pace, natural pause"
director_037,director,schedule,standard,037,"打开课程调课审批列表。",humanized,Tingting,macos-say,audio/humanized/director/director_037.wav,"slower pace, natural pause"
director_038,director,schedule,standard,038,"查询本周教师代课情况。",humanized,Tingting,macos-say,audio/humanized/director/director_038.wav,"slower pace, natural pause"
director_039,director,schedule,colloquial,039,"帮我打开调课审批列表。",humanized,Tingting,macos-say,audio/humanized/director/director_039.wav,"slower pace, natural pause"
director_040,director,schedule,colloquial,040,"我想查一下这周教师代课情况。",humanized,Tingting,macos-say,audio/humanized/director/director_040.wav,"slower pace, natural pause"
director_041,director,schedule,entity,041,"看一下数学组本周的代课安排。",humanized,Tingting,macos-say,audio/humanized/director/director_041.wav,"slower pace, natural pause"
director_042,director,schedule,short,042,"看调课审批。",humanized,Tingting,macos-say,audio/humanized/director/director_042.wav,"slower pace, natural pause"
director_043,director,teacher_management,standard,043,"查看未完成备课检查的教师名单。",humanized,Tingting,macos-say,audio/humanized/director/director_043.wav,"slower pace, natural pause"
director_044,director,teacher_management,standard,044,"查询本周班主任工作完成情况。",humanized,Tingting,macos-say,audio/humanized/director/director_044.wav,"slower pace, natural pause"
director_045,director,teacher_management,colloquial,045,"帮我看一下哪些教师还没完成备课检查。",humanized,Tingting,macos-say,audio/humanized/director/director_045.wav,"slower pace, natural pause"
director_046,director,teacher_management,colloquial,046,"我想查查本周班主任工作完成情况。",humanized,Tingting,macos-say,audio/humanized/director/director_046.wav,"slower pace, natural pause"
director_047,director,teacher_management,entity,047,"看一下七年级班主任本周工作完成情况。",humanized,Tingting,macos-say,audio/humanized/director/director_047.wav,"slower pace, natural pause"
director_048,director,teacher_management,short,048,"看备课检查。",humanized,Tingting,macos-say,audio/humanized/director/director_048.wav,"slower pace, natural pause"
director_049,director,focus_students,standard,049,"查询需要重点关注的学生。",humanized,Tingting,macos-say,audio/humanized/director/director_049.wav,"slower pace, natural pause"
director_050,director,focus_students,standard,050,"查看本月家长反馈处理情况。",humanized,Tingting,macos-say,audio/humanized/director/director_050.wav,"slower pace, natural pause"
director_051,director,focus_students,colloquial,051,"帮我查一下需要重点关注的学生。",humanized,Tingting,macos-say,audio/humanized/director/director_051.wav,"slower pace, natural pause"
director_052,director,focus_students,colloquial,052,"我想看一下这个月家长反馈处理情况。",humanized,Tingting,macos-say,audio/humanized/director/director_052.wav,"slower pace, natural pause"
director_053,director,focus_students,entity,053,"查一下张明和李浩这两个学生的预警情况。",humanized,Tingting,macos-say,audio/humanized/director/director_053.wav,"slower pace, natural pause"
director_054,director,focus_students,short,054,"看重点学生。",humanized,Tingting,macos-say,audio/humanized/director/director_054.wav,"slower pace, natural pause"
